Orthogroup	Prac	Prbd
OG0000000	Prac.g_00159	Prbd.g_01833
OG0000000	Prac.g_00277	Prbd.g_01914
OG0000000	Prac.g_00292	Prbd.g_01568
OG0000000	Prac.g_00926	Prbd.g_00528
OG0000000	Prac.g_00290	Prbd.g_01835
OG0000001	Prac.g_00202	Prbd.g_01779
OG0000001	Prac.g_00924	Prbd.g_01930
OG0000002	Prac.g_00210	Prbd.g_01771
OG0000002	Prac.g_00693	Prbd.g_00566
OG0000004	Prac.g_00676	Prbd.g_00549
OG0000004	Prac.g_01698	Prbd.g_01007
OG0000005	Prac.g_00612	Prbd.g_01512
OG0000005	Prac.g_00335	Prbd.g_01612
OG0000006	Prac.g_01689	Prbd.g_00998
OG0000007	Prac.g_00874	Prbd.g_00745
OG0000007	Prac.g_00625	Prbd.g_01525
OG0000008	Prac.g_00699	Prbd.g_00572
OG0000009	Prac.g_00301	Prbd.g_01576
OG0000009	Prac.g_01826	Prbd.g_01139
OG0000010	Prac.g_01070	Prbd.g_00768
OG0000010	Prac.g_01248	Prbd.g_00348
OG0000011	Prac.g_00152	Prbd.g_01859
OG0000011	Prac.g_00142	Prbd.g_00534, Prbd.g_01867
OG0000012	Prac.g_00748	Prbd.g_00621
OG0000013	Prac.g_01604	Prbd.g_00912
OG0000014	Prac.g_01625	Prbd.g_00933
OG0000015	Prac.g_00898	Prbd.g_00826
OG0000016	Prac.g_01934	Prbd.g_01224
OG0000017	Prac.g_00773	Prbd.g_00646
OG0000018	Prac.g_01448	Prbd.g_00129
OG0000018	Prac.g_01004	Prbd.g_00449
OG0000019	Prac.g_01681	Prbd.g_00990
OG0000019	Prac.g_01496	Prbd.g_00082
OG0000020	Prac.g_01037	Prbd.g_00406
OG0000021	Prac.g_01169	Prbd.g_00874
OG0000022	Prac.g_01022	Prbd.g_00423
OG0000022	Prac.g_01510	Prbd.g_00061
OG0000023	Prac.g_01174	Prbd.g_00879
OG0000024	Prac.g_01525	Prbd.g_00045
OG0000024	Prac.g_00696	Prbd.g_00569
OG0000025	Prac.g_01600	Prbd.g_00908
OG0000025	Prac.g_01441	Prbd.g_00137
OG0000026	Prac.g_01916	Prbd.g_01206
OG0000026	Prac.g_01241	Prbd.g_00355
OG0000027	Prac.g_01074	Prbd.g_00772
OG0000028	Prac.g_00145	Prbd.g_01864
OG0000028	Prac.g_01611	Prbd.g_00919
OG0000029	Prac.g_01158	Prbd.g_00863
OG0000030	Prac.g_00050	Prbd.g_01325
OG0000032	Prac.g_00242	Prbd.g_01730
OG0000033	Prac.g_01761	Prbd.g_01071
OG0000034	Prac.g_00185	Prbd.g_01791
OG0000035	Prac.g_00411	Prbd.g_01689
OG0000037	Prac.g_01822	Prbd.g_01135
OG0000038	Prac.g_00090	Prbd.g_01283
OG0000039	Prac.g_00685	Prbd.g_00558
OG0000040	Prac.g_00279	Prbd.g_01550
OG0000040	Prac.g_01005	Prbd.g_00448
OG0000041	Prac.g_00579	Prbd.g_01478
OG0000042	Prac.g_00048	Prbd.g_01328
OG0000043	Prac.g_01405	Prbd.g_00174
OG0000045	Prac.g_01162	Prbd.g_00867
OG0000047	Prac.g_01601	Prbd.g_00909
OG0000048	Prac.g_01159	Prbd.g_00864
OG0000049	Prac.g_01149	Prbd.g_00854
OG0000049	Prac.g_01954	Prbd.g_01894
OG0000050	Prac.g_01220	Prbd.g_00375
OG0000053	Prac.g_00391	Prbd.g_01669
OG0000054	Prac.g_00765	Prbd.g_00638
OG0000055	Prac.g_01495	Prbd.g_00083
OG0000057	Prac.g_00673	Prbd.g_00546
OG0000058	Prac.g_00258	Prbd.g_01733
OG0000059	Prac.g_00500	Prbd.g_01439
OG0000061	Prac.g_00985	Prbd.g_00468
OG0000062	Prac.g_00333	Prbd.g_01610
OG0000063	Prac.g_01913	Prbd.g_01204
OG0000065	Prac.g_01824	Prbd.g_01137
OG0000066	Prac.g_00833	Prbd.g_00703
OG0000068	Prac.g_00217	Prbd.g_01764
OG0000069	Prac.g_00890, Prac.g_00300	Prbd.g_01575
OG0000070	Prac.g_01097	Prbd.g_00792
OG0000071	Prac.g_00175	Prbd.g_01801
OG0000072	Prac.g_01759	Prbd.g_01069
OG0000073	Prac.g_00872	Prbd.g_00743
OG0000074	Prac.g_00689	Prbd.g_00562
OG0000075	Prac.g_00017	Prbd.g_01359
OG0000076	Prac.g_00041	Prbd.g_01335
OG0000077	Prac.g_01853	Prbd.g_01166
OG0000078	Prac.g_01691	Prbd.g_01000
OG0000081	Prac.g_00841	Prbd.g_00711
OG0000082	Prac.g_00788	Prbd.g_00658
OG0000083	Prac.g_01529	Prbd.g_00038
OG0000083	Prac.g_01536	Prbd.g_00031
OG0000084	Prac.g_00415	Prbd.g_01693
OG0000085	Prac.g_00632	Prbd.g_01532
OG0000086	Prac.g_01843	Prbd.g_01156
OG0000087	Prac.g_01792	Prbd.g_01104, Prbd.g_01103
OG0000088	Prac.g_01764	Prbd.g_01074
OG0000089	Prac.g_01178	Prbd.g_00883
OG0000090	Prac.g_00839	Prbd.g_00709
OG0000091	Prac.g_00729	Prbd.g_00602
OG0000092	Prac.g_01379	Prbd.g_00211
OG0000092	Prac.g_00003	Prbd.g_01193
OG0000093	Prac.g_01359	Prbd.g_00232
OG0000094	Prac.g_01275	Prbd.g_00321
OG0000095	Prac.g_01256	Prbd.g_00340
OG0000096	Prac.g_01958	Prbd.g_01840
OG0000096	Prac.g_01035	Prbd.g_00409
