Orthogroup	Prac	Syar
OG0000001	Prac.g_00202	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prac.g_00676	Syar.g_02051
OG0000004	Prac.g_01698	Syar.g_02225, Syar.g_00842
OG0000005	Prac.g_00612	Syar.g_02952
OG0000005	Prac.g_00335	Syar.g_02909
OG0000006	Prac.g_01689	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prac.g_00874	Syar.g_01491
OG0000007	Prac.g_00625	Syar.g_02929
OG0000008	Prac.g_00904	Syar.g_02097
OG0000008	Prac.g_00699	Syar.g_00419, Syar.g_02048
OG0000009	Prac.g_01826	Syar.g_03116
OG0000010	Prac.g_01592, Prac.g_01248	Syar.g_01272
OG0000012	Prac.g_00748	Syar.g_00690, Syar.g_02860
OG0000013	Prac.g_01604	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prac.g_01625	Syar.g_00825
OG0000015	Prac.g_00898	Syar.g_00451, Syar.g_00180
OG0000016	Prac.g_01934	Syar.g_02859
OG0000017	Prac.g_00773	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Prac.g_01004	Syar.g_01409
OG0000019	Prac.g_01681, Prac.g_01496	Syar.g_00163
OG0000022	Prac.g_01022	Syar.g_00835
OG0000025	Prac.g_01600, Prac.g_01441	Syar.g_01811
OG0000026	Prac.g_01916, Prac.g_01241	Syar.g_00505
OG0000027	Prac.g_01074	Syar.g_02055, Syar.g_02835
OG0000028	Prac.g_00145, Prac.g_01611	Syar.g_00718
OG0000031	Prac.g_00249	Syar.g_00714
OG0000032	Prac.g_00242	Syar.g_00543
OG0000034	Prac.g_00185	Syar.g_00074, Syar.g_02790
OG0000035	Prac.g_00411	Syar.g_02809
OG0000037	Prac.g_01822	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prac.g_00090	Syar.g_00334, Syar.g_00336
OG0000039	Prac.g_00685	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prac.g_00279	Syar.g_02831
OG0000040	Prac.g_01005	Syar.g_00858
OG0000041	Prac.g_00579	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prac.g_00048	Syar.g_00595, Syar.g_01970
OG0000044	Prac.g_00892	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prac.g_01576	Syar.g_02592
OG0000048	Prac.g_01159	Syar.g_00213
OG0000053	Prac.g_01901, Prac.g_00391	Syar.g_01413
OG0000054	Prac.g_00765	Syar.g_02265
OG0000055	Prac.g_01495	Syar.g_01386
OG0000057	Prac.g_00673	Syar.g_01941, Syar.g_00006
OG0000059	Prac.g_00500	Syar.g_01024
OG0000061	Prac.g_00985	Syar.g_01539
OG0000062	Prac.g_00333	Syar.g_02911
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syar.g_00509
OG0000065	Prac.g_01824	Syar.g_03119
OG0000066	Prac.g_00833	Syar.g_03187, Syar.g_02228
OG0000067	Prac.g_01475	Syar.g_02639
OG0000068	Prac.g_00217	Syar.g_02329, Syar.g_01461
OG0000069	Prac.g_00890, Prac.g_00300	Syar.g_01716
OG0000070	Prac.g_01097	Syar.g_02223, Syar.g_03150
OG0000071	Prac.g_00175	Syar.g_02777
OG0000072	Prac.g_01759	Syar.g_00107, Syar.g_01140
OG0000073	Prac.g_00872	Syar.g_01364, Syar.g_01493
OG0000075	Prac.g_00017	Syar.g_03065, Syar.g_00659
OG0000076	Prac.g_01904, Prac.g_00041	Syar.g_00608
OG0000077	Prac.g_01853	Syar.g_03051
OG0000078	Prac.g_01691	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000081	Prac.g_00841	Syar.g_01898
OG0000082	Prac.g_00788	Syar.g_02202
OG0000085	Prac.g_00632	Syar.g_02919
OG0000086	Prac.g_01843	Syar.g_03085
OG0000087	Prac.g_01792	Syar.g_03192, Syar.g_00068
OG0000088	Prac.g_01764	Syar.g_00101
OG0000089	Prac.g_01178	Syar.g_01162
OG0000090	Prac.g_00839	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prac.g_00729	Syar.g_01891, Syar.g_02426
OG0000092	Prac.g_00003	Syar.g_01960
OG0000093	Prac.g_01359	Syar.g_02623
OG0000094	Prac.g_01275	Syar.g_01789
OG0000095	Prac.g_01256	Syar.g_01932
OG0000097	Prac.g_00944	Syar.g_01706, Syar.g_00364
OG0000098	Prac.g_00199	Syar.g_02343
OG0000099	Prac.g_00256	Syar.g_00715
OG0000100	Prac.g_00337	Syar.g_02477
OG0000101	Prac.g_00548	Syar.g_01073, Syar.g_03154
OG0000102	Prac.g_00046	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prac.g_00123	Syar.g_00014, Syar.g_00452
OG0000104	Prac.g_00131	Syar.g_00466
OG0000105	Prac.g_01657	Syar.g_00218
OG0000106	Prac.g_01163	Syar.g_01748
OG0000107	Prac.g_01148	Syar.g_03290, Syar.g_00149
OG0000108	Prac.g_01064	Syar.g_01469
OG0000109	Prac.g_01050	Syar.g_03310, Syar.g_01485
OG0000110	Prac.g_00798	Syar.g_02295
OG0000111	Prac.g_00672	Syar.g_01940, Syar.g_00005
OG0000112	Prac.g_01507	Syar.g_03195, Syar.g_02548
OG0000113	Prac.g_01453	Syar.g_02664
OG0000114	Prac.g_01384	Syar.g_01616
OG0000115	Prac.g_01040	Syar.g_02854, Syar.g_01415
OG0000116	Prac.g_00995	Syar.g_01525, Syar.g_02255
OG0000117	Prac.g_01955	Syar.g_01969
OG0000118	Prac.g_00187	Syar.g_02793
OG0000120	Prac.g_00248	Syar.g_00713
OG0000121	Prac.g_00409	Syar.g_02806
OG0000123	Prac.g_00554	Syar.g_01079
OG0000124	Prac.g_00056	Syar.g_00586
OG0000125	Prac.g_00092	Syar.g_00338
OG0000126	Prac.g_00130	Syar.g_00887, Syar.g_00888
OG0000128	Prac.g_01936	Syar.g_00482
OG0000129	Prac.g_01888	Syar.g_00324
OG0000130	Prac.g_01862	Syar.g_03040
OG0000131	Prac.g_01785	Syar.g_02216, Syar.g_00078
OG0000132	Prac.g_01766	Syar.g_00099
OG0000133	Prac.g_01609	Syar.g_02543
OG0000134	Prac.g_01177	Syar.g_02009, Syar.g_01165
OG0000135	Prac.g_01150	Syar.g_00698
OG0000136	Prac.g_01106	Syar.g_02874
OG0000137	Prac.g_01069	Syar.g_01273
OG0000138	Prac.g_01049	Syar.g_01486
OG0000139	Prac.g_00835	Syar.g_03245, Syar.g_02348
OG0000140	Prac.g_00834	Syar.g_02344, Syar.g_03246
OG0000141	Prac.g_00764	Syar.g_02129
OG0000142	Prac.g_00736	Syar.g_02418
OG0000143	Prac.g_00732	Syar.g_02422
OG0000144	Prac.g_00719	Syar.g_02441
OG0000145	Prac.g_01508	Syar.g_01494, Syar.g_03205
OG0000146	Prac.g_01506	Syar.g_02549
OG0000147	Prac.g_01505	Syar.g_02550
OG0000148	Prac.g_01459	Syar.g_02658
OG0000149	Prac.g_01429	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prac.g_01421	Syar.g_02130
OG0000151	Prac.g_01374	Syar.g_02038
OG0000152	Prac.g_01327	Syar.g_02539
OG0000153	Prac.g_01308	Syar.g_03283, Syar.g_02503
OG0000154	Prac.g_01282	Syar.g_01800
OG0000155	Prac.g_00965	Syar.g_01959
OG0000156	Prac.g_00164	Syar.g_01517
OG0000157	Prac.g_00165	Syar.g_01516
OG0000158	Prac.g_00447	Syar.g_00650
OG0000160	Prac.g_00410	Syar.g_02807
OG0000161	Prac.g_00404	Syar.g_02801
OG0000162	Prac.g_00398	Syar.g_02863
OG0000163	Prac.g_00364	Syar.g_00639, Syar.g_01186
OG0000164	Prac.g_00601	Syar.g_03168, Syar.g_02969
OG0000165	Prac.g_00594	Syar.g_02976
OG0000166	Prac.g_00512	Syar.g_01034
OG0000167	Prac.g_00015	Syar.g_00662
OG0000168	Prac.g_00025	Syar.g_00246
OG0000169	Prac.g_00035	Syar.g_00262
OG0000170	Prac.g_00037	Syar.g_00613
OG0000171	Prac.g_00055	Syar.g_00587
OG0000172	Prac.g_00063	Syar.g_00547
OG0000173	Prac.g_00078	Syar.g_00528
OG0000174	Prac.g_00105	Syar.g_00701
OG0000175	Prac.g_00115	Syar.g_00438
OG0000176	Prac.g_01943	Syar.g_00474
OG0000177	Prac.g_01942	Syar.g_00475
OG0000178	Prac.g_01941	Syar.g_00476
OG0000179	Prac.g_01931	Syar.g_00489
OG0000180	Prac.g_01930	Syar.g_00490
OG0000181	Prac.g_01929	Syar.g_00491
OG0000182	Prac.g_01928	Syar.g_00492
OG0000183	Prac.g_01924	Syar.g_00496
