Orthogroup	Prac	Prbk
OG0000000	Prac.g_00159	Prbk.g_00167, Prbk.g_00166
OG0000000	Prac.g_00292	Prbk.g_00165
OG0000001	Prac.g_00202	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000002	Prac.g_00210	Prbk.g_02574
OG0000002	Prac.g_00693	Prbk.g_01649
OG0000004	Prac.g_00676	Prbk.g_01760
OG0000004	Prac.g_01698	Prbk.g_01134
OG0000005	Prac.g_00335	Prbk.g_00933
OG0000006	Prac.g_01689	Prbk.g_02695
OG0000007	Prac.g_00625	Prbk.g_00907
OG0000008	Prac.g_00904	Prbk.g_01819
OG0000009	Prac.g_01826	Prbk.g_01932, Prbk.g_00013
OG0000010	Prac.g_01592, Prac.g_01248	Prbk.g_02112
OG0000011	Prac.g_00152	Prbk.g_01851
OG0000012	Prac.g_00748	Prbk.g_02610
OG0000013	Prac.g_01604	Prbk.g_00853
OG0000014	Prac.g_01625	Prbk.g_00454
OG0000015	Prac.g_00898	Prbk.g_02558
OG0000017	Prac.g_00773	Prbk.g_01142, Prbk.g_01150
OG0000018	Prac.g_01004	Prbk.g_01227
OG0000019	Prac.g_01681, Prac.g_01496	Prbk.g_01644, Prbk.g_01004
OG0000020	Prac.g_00875, Prac.g_01598	Prbk.g_01331, Prbk.g_02697
OG0000021	Prac.g_01169	Prbk.g_01960, Prbk.g_01137
OG0000022	Prac.g_01022	Prbk.g_01667
OG0000022	Prac.g_01510	Prbk.g_00212
OG0000023	Prac.g_01174	Prbk.g_02448
OG0000024	Prac.g_01525, Prac.g_00696	Prbk.g_01780
OG0000025	Prac.g_01600, Prac.g_01441	Prbk.g_02531
OG0000026	Prac.g_01916, Prac.g_01241	Prbk.g_01617
OG0000028	Prac.g_01611	Prbk.g_00469
OG0000030	Prac.g_00050	Prbk.g_01532, Prbk.g_01533
OG0000031	Prac.g_00249	Prbk.g_00534, Prbk.g_00539
OG0000032	Prac.g_00242	Prbk.g_00480
OG0000034	Prac.g_00185	Prbk.g_01171
OG0000035	Prac.g_00411	Prbk.g_00259
OG0000037	Prac.g_01822	Prbk.g_00007
OG0000038	Prac.g_00090	Prbk.g_02164, Prbk.g_02166
OG0000039	Prac.g_00685	Prbk.g_01385, Prbk.g_00642
OG0000041	Prac.g_00579	Prbk.g_01406
OG0000042	Prac.g_00048	Prbk.g_01495, Prbk.g_00140
OG0000044	Prac.g_00892	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000045	Prac.g_01576	Prbk.g_01321
OG0000047	Prac.g_01601	Prbk.g_01202
OG0000047	Prac.g_01127	Prbk.g_02565
OG0000048	Prac.g_01159	Prbk.g_00405
OG0000053	Prac.g_01901, Prac.g_00391	Prbk.g_01230
OG0000054	Prac.g_00765	Prbk.g_01153
OG0000057	Prac.g_00673	Prbk.g_01765
OG0000059	Prac.g_00500	Prbk.g_00992
OG0000061	Prac.g_00985	Prbk.g_01019
OG0000062	Prac.g_00333	Prbk.g_00931
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Prbk.g_01613
OG0000065	Prac.g_01824	Prbk.g_00011
OG0000066	Prac.g_00833	Prbk.g_01094
OG0000067	Prac.g_01475	Prbk.g_02468
OG0000068	Prac.g_00217	Prbk.g_02052
OG0000070	Prac.g_01097	Prbk.g_00310
OG0000071	Prac.g_00175	Prbk.g_01183
OG0000072	Prac.g_01759	Prbk.g_00778
OG0000073	Prac.g_00872	Prbk.g_01862
OG0000075	Prac.g_00017	Prbk.g_00514
OG0000076	Prac.g_01904, Prac.g_00041	Prbk.g_00237
OG0000077	Prac.g_01853	Prbk.g_00307, Prbk.g_01308
OG0000078	Prac.g_01691	Prbk.g_01515
OG0000081	Prac.g_00841	Prbk.g_00733, Prbk.g_01772
OG0000082	Prac.g_00788	Prbk.g_01122
OG0000084	Prac.g_00415	Prbk.g_00255
OG0000085	Prac.g_00632	Prbk.g_00919
OG0000086	Prac.g_01843	Prbk.g_01295
OG0000087	Prac.g_01792	Prbk.g_00559
OG0000088	Prac.g_01764	Prbk.g_00773, Prbk.g_01836
OG0000089	Prac.g_01178	Prbk.g_00364
OG0000090	Prac.g_00839	Prbk.g_01080
OG0000091	Prac.g_00729	Prbk.g_02639
OG0000093	Prac.g_01359	Prbk.g_02444
OG0000094	Prac.g_01275	Prbk.g_02190
OG0000095	Prac.g_01256	Prbk.g_00056
OG0000097	Prac.g_00944	Prbk.g_00189
OG0000098	Prac.g_00199	Prbk.g_01199
OG0000099	Prac.g_00256	Prbk.g_00476
OG0000100	Prac.g_00337	Prbk.g_01360, Prbk.g_02498
OG0000101	Prac.g_00548	Prbk.g_00796, Prbk.g_00944
OG0000102	Prac.g_00046	Prbk.g_01484
OG0000103	Prac.g_00123	Prbk.g_02260
OG0000104	Prac.g_00131	Prbk.g_02274
OG0000105	Prac.g_01657	Prbk.g_00409
OG0000106	Prac.g_01163	Prbk.g_00925
OG0000107	Prac.g_01148	Prbk.g_01902
OG0000108	Prac.g_01064	Prbk.g_02061
OG0000109	Prac.g_01050	Prbk.g_02077
OG0000110	Prac.g_00798	Prbk.g_01110
OG0000111	Prac.g_00672	Prbk.g_01766
OG0000112	Prac.g_01507	Prbk.g_02332
OG0000113	Prac.g_01453	Prbk.g_02493
OG0000114	Prac.g_01384	Prbk.g_02396
