Orthogroup	Prac	Prbl
OG0000000	Prac.g_00159	Prbl.g_00118, Prbl.g_00117
OG0000000	Prac.g_00292	Prbl.g_00116
OG0000001	Prac.g_00202	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578
OG0000002	Prac.g_00210	Prbl.g_01582
OG0000002	Prac.g_00693	Prbl.g_01092
OG0000004	Prac.g_00676	Prbl.g_00021
OG0000004	Prac.g_01698	Prbl.g_01771
OG0000005	Prac.g_00335	Prbl.g_00419
OG0000006	Prac.g_01689	Prbl.g_02601
OG0000007	Prac.g_00874	Prbl.g_00531
OG0000007	Prac.g_00625	Prbl.g_00394
OG0000008	Prac.g_00904	Prbl.g_01855
OG0000009	Prac.g_01826	Prbl.g_00155, Prbl.g_00554
OG0000010	Prac.g_01592, Prac.g_01248	Prbl.g_01341
OG0000011	Prac.g_00152	Prbl.g_01822
OG0000012	Prac.g_00748	Prbl.g_01618
OG0000013	Prac.g_01604	Prbl.g_01183
OG0000014	Prac.g_01625	Prbl.g_01416
OG0000015	Prac.g_00898	Prbl.g_01566
OG0000017	Prac.g_00773	Prbl.g_01763, Prbl.g_01755
OG0000018	Prac.g_01004	Prbl.g_00694
OG0000019	Prac.g_01681, Prac.g_01496	Prbl.g_01097, Prbl.g_01509
OG0000020	Prac.g_00875, Prac.g_01598	Prbl.g_01026, Prbl.g_01386
OG0000021	Prac.g_01169	Prbl.g_01531, Prbl.g_01768
OG0000022	Prac.g_01022	Prbl.g_01072
OG0000022	Prac.g_01510	Prbl.g_01310
OG0000023	Prac.g_01174	Prbl.g_02355
OG0000024	Prac.g_01525, Prac.g_00696	Prbl.g_00040
OG0000025	Prac.g_01600, Prac.g_01441	Prbl.g_01539
OG0000026	Prac.g_01916, Prac.g_01241	Prbl.g_01977
OG0000028	Prac.g_01611	Prbl.g_00900
OG0000030	Prac.g_00050	Prbl.g_02061, Prbl.g_02060
OG0000031	Prac.g_00249	Prbl.g_00835, Prbl.g_00830
OG0000032	Prac.g_00242	Prbl.g_00889
OG0000034	Prac.g_00185	Prbl.g_01734
OG0000035	Prac.g_00411	Prbl.g_00242
OG0000037	Prac.g_01822	Prbl.g_00548
OG0000038	Prac.g_00090	Prbl.g_02235, Prbl.g_02233
OG0000039	Prac.g_00685	Prbl.g_00318, Prbl.g_01272
OG0000041	Prac.g_00579	Prbl.g_00339
OG0000042	Prac.g_00048	Prbl.g_01236, Prbl.g_01121
OG0000044	Prac.g_00892	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000045	Prac.g_01576	Prbl.g_00609
OG0000047	Prac.g_01601	Prbl.g_00719
OG0000047	Prac.g_01127	Prbl.g_01574
OG0000048	Prac.g_01159	Prbl.g_01465
OG0000053	Prac.g_01901, Prac.g_00391	Prbl.g_00691
OG0000054	Prac.g_00765	Prbl.g_01752
OG0000057	Prac.g_00673	Prbl.g_00025
OG0000059	Prac.g_00500	Prbl.g_00952
OG0000061	Prac.g_00985	Prbl.g_02084
OG0000062	Prac.g_00333	Prbl.g_00417
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Prbl.g_01981
OG0000065	Prac.g_01824	Prbl.g_00552
OG0000066	Prac.g_00833	Prbl.g_00752
OG0000067	Prac.g_01475	Prbl.g_02335
OG0000068	Prac.g_00217	Prbl.g_00502
OG0000070	Prac.g_01097	Prbl.g_00634
OG0000071	Prac.g_00175	Prbl.g_01722
OG0000072	Prac.g_01759	Prbl.g_00276
OG0000073	Prac.g_00872	Prbl.g_00533
OG0000075	Prac.g_00017	Prbl.g_00855
OG0000076	Prac.g_01904, Prac.g_00041	Prbl.g_01285
OG0000077	Prac.g_01853	Prbl.g_00631, Prbl.g_00596
OG0000078	Prac.g_01691	Prbl.g_00193
OG0000081	Prac.g_00841	Prbl.g_01036, Prbl.g_00032
OG0000082	Prac.g_00788	Prbl.g_01783
OG0000084	Prac.g_00415	Prbl.g_00246
OG0000085	Prac.g_00632	Prbl.g_00405
OG0000086	Prac.g_01843	Prbl.g_00583
OG0000087	Prac.g_01792	Prbl.g_00810
OG0000088	Prac.g_01764	Prbl.g_00281, Prbl.g_01838
OG0000089	Prac.g_01178	Prbl.g_02674
OG0000090	Prac.g_00839	Prbl.g_00766
OG0000091	Prac.g_00729	Prbl.g_01647
OG0000093	Prac.g_01359	Prbl.g_02359
OG0000094	Prac.g_01275	Prbl.g_02209
OG0000095	Prac.g_01256	Prbl.g_00927
OG0000097	Prac.g_00944	Prbl.g_02579
OG0000098	Prac.g_00199	Prbl.g_00722
OG0000099	Prac.g_00256	Prbl.g_00893
OG0000100	Prac.g_00337	Prbl.g_01914, Prbl.g_02305
OG0000101	Prac.g_00548	Prbl.g_01126, Prbl.g_01000
OG0000102	Prac.g_00046	Prbl.g_02636
