Orthogroup	Prbe	Prax
OG0000000	Prbe.g_01119	Prax.g_01608, Prax.g_00496
OG0000000	Prbe.g_01052, Prbe.g_01120, Prbe.g_01586	Prax.g_00259, Prax.g_01609
OG0000001	Prbe.g_01285, Prbe.g_01290	Prax.g_01870
OG0000001	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584	Prax.g_00964
OG0000002	Prbe.g_00112	Prax.g_00522
OG0000002	Prbe.g_00400	Prax.g_01878
OG0000004	Prbe.g_01587	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000005	Prbe.g_01628	Prax.g_00437
OG0000006	Prbe.g_00081	Prax.g_01936, Prax.g_00500, Prax.g_00424, Prax.g_00141
OG0000008	Prbe.g_00636	Prax.g_00704
OG0000008	Prbe.g_00985	Prax.g_01559
OG0000010	Prbe.g_01573	Prax.g_00393
OG0000010	Prbe.g_01802	Prax.g_00926
OG0000011	Prbe.g_01091	Prax.g_00798
OG0000011	Prbe.g_01054, Prbe.g_01133, Prbe.g_00025	Prax.g_00425
OG0000012	Prbe.g_00906	Prax.g_00173
OG0000013	Prbe.g_00216	Prax.g_01617
OG0000016	Prbe.g_01046, Prbe.g_01000	Prax.g_00523
OG0000017	Prbe.g_01121, Prbe.g_00012	Prax.g_01916
OG0000018	Prbe.g_00536, Prbe.g_00529	Prax.g_00057
OG0000019	Prbe.g_01024, Prbe.g_01130	Prax.g_00793
OG0000020	Prbe.g_01603, Prbe.g_00214	Prax.g_01867
OG0000022	Prbe.g_01794	Prax.g_01972
OG0000023	Prbe.g_01208	Prax.g_01587, Prax.g_00808
OG0000024	Prbe.g_00013, Prbe.g_01595	Prax.g_01931
OG0000025	Prbe.g_01415, Prbe.g_00449	Prax.g_00432
OG0000029	Prbe.g_01598, Prbe.g_01011	Prax.g_00392
OG0000030	Prbe.g_01003	Prax.g_00391
OG0000031	Prbe.g_00766	Prax.g_01401
OG0000034	Prbe.g_00311	Prax.g_01733, Prax.g_01728
OG0000035	Prbe.g_00678	Prax.g_01616
OG0000036	Prbe.g_00204	Prax.g_00138
OG0000041	Prbe.g_00511, Prbe.g_00196	Prax.g_00082
OG0000045	Prbe.g_00996, Prbe.g_00549	Prax.g_00045
OG0000046	Prbe.g_00220	Prax.g_00415
