Orthogroup	Prbe	Pras
OG0000000	Prbe.g_01119	Pras.g_00493, Pras.g_00470
OG0000000	Prbe.g_01052, Prbe.g_01120, Prbe.g_01586	Pras.g_00469, Pras.g_00117
OG0000001	Prbe.g_01285, Prbe.g_01290	Pras.g_00243
OG0000001	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584	Pras.g_01554
OG0000002	Prbe.g_00112	Pras.g_00541, Pras.g_00118, Pras.g_00120
OG0000002	Prbe.g_00400	Pras.g_00235
OG0000004	Prbe.g_01587	Pras.g_00182, Pras.g_00471, Pras.g_00136
OG0000005	Prbe.g_01628	Pras.g_01638
OG0000006	Prbe.g_00081	Pras.g_00163, Pras.g_01654, Pras.g_00004
OG0000008	Prbe.g_00636	Pras.g_01375
OG0000008	Prbe.g_00985	Pras.g_00550
OG0000010	Prbe.g_01573	Pras.g_01681
OG0000010	Prbe.g_01802	Pras.g_01101
OG0000011	Prbe.g_01091	Pras.g_01228
OG0000011	Prbe.g_01054, Prbe.g_01133, Prbe.g_00025	Pras.g_01653
OG0000012	Prbe.g_01825	Pras.g_01985
OG0000013	Prbe.g_00216	Pras.g_00463, Pras.g_00956
OG0000015	Prbe.g_01921	Pras.g_01263
OG0000016	Prbe.g_01046, Prbe.g_01000	Pras.g_00127
OG0000017	Prbe.g_01121, Prbe.g_00012	Pras.g_00185, Pras.g_01348
OG0000018	Prbe.g_00536, Prbe.g_00529	Pras.g_01474
OG0000019	Prbe.g_01024, Prbe.g_01130	Pras.g_01235, Pras.g_00539
OG0000020	Prbe.g_01603, Prbe.g_00214	Pras.g_00246
OG0000021	Prbe.g_00290, Prbe.g_01040	Pras.g_00886
OG0000022	Prbe.g_01794	Pras.g_01093, Pras.g_00148
OG0000023	Prbe.g_01208	Pras.g_00507, Pras.g_01218
OG0000024	Prbe.g_00013, Prbe.g_01595	Pras.g_00175
OG0000025	Prbe.g_01415, Prbe.g_00449	Pras.g_01645
OG0000029	Prbe.g_01598, Prbe.g_01011	Pras.g_01682
OG0000030	Prbe.g_01003	Pras.g_01683
OG0000031	Prbe.g_00766	Pras.g_00750
OG0000034	Prbe.g_00311	Pras.g_00350
OG0000035	Prbe.g_00678	Pras.g_00464, Pras.g_00538
OG0000036	Prbe.g_00204	Pras.g_00001
OG0000041	Prbe.g_00511, Prbe.g_00196	Pras.g_01499
OG0000045	Prbe.g_00996, Prbe.g_00549	Pras.g_01462
OG0000046	Prbe.g_00220	Pras.g_01662
OG0000047	Prbe.g_01549	Pras.g_00056
OG0000048	Prbe.g_00158	Pras.g_00096
OG0000048	Prbe.g_00333	Pras.g_00285
OG0000049	Prbe.g_00351	Pras.g_00291, Pras.g_00290
OG0000050	Prbe.g_01714	Pras.g_01017
OG0000051	Prbe.g_00062	Pras.g_01213
OG0000052	Prbe.g_01027, Prbe.g_01021	Pras.g_01285
OG0000053	Prbe.g_01214	Pras.g_01606
OG0000054	Prbe.g_00007, Prbe.g_00993	Pras.g_00543
OG0000055	Prbe.g_00774	Pras.g_00883, Pras.g_00743
OG0000056	Prbe.g_00132	Pras.g_00873
OG0000057	Prbe.g_01705	Pras.g_01008
OG0000058	Prbe.g_00740	Pras.g_01223
OG0000059	Prbe.g_00596, Prbe.g_01114	Pras.g_01416
OG0000062	Prbe.g_01245	Pras.g_01723
OG0000065	Prbe.g_01789	Pras.g_01089
OG0000066	Prbe.g_00658	Pras.g_01353
OG0000067	Prbe.g_01206	Pras.g_01574
OG0000070	Prbe.g_01297	Pras.g_01934
OG0000071	Prbe.g_01522	Pras.g_00150
OG0000072	Prbe.g_00893	Pras.g_00209
OG0000073	Prbe.g_01025	Pras.g_00882
OG0000073	Prbe.g_00010	Pras.g_00227
OG0000074	Prbe.g_00353	Pras.g_00272, Pras.g_00273, Pras.g_00271, Pras.g_00330
OG0000075	Prbe.g_00836	Pras.g_00687
OG0000076	Prbe.g_00272	Pras.g_00326
OG0000077	Prbe.g_01076	Pras.g_00853
OG0000078	Prbe.g_01875	Pras.g_01174
