Orthogroup	Prbe	Pran
OG0000000	Prbe.g_01119	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prbe.g_01052, Prbe.g_01120, Prbe.g_01586	Pran.g_00579, Pran.g_00001, Pran.g_00602
OG0000001	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584	Pran.g_01500
OG0000002	Prbe.g_00112	Pran.g_01395
OG0000004	Prbe.g_01587	Pran.g_00894, Pran.g_00580
OG0000005	Prbe.g_01628	Pran.g_01436
OG0000006	Prbe.g_00081	Pran.g_00603, Pran.g_00114
OG0000008	Prbe.g_00636	Pran.g_01681
OG0000008	Prbe.g_00985	Pran.g_00970
OG0000010	Prbe.g_01573	Pran.g_01363
OG0000010	Prbe.g_01802	Pran.g_01943
OG0000011	Prbe.g_01054, Prbe.g_01133, Prbe.g_00025	Pran.g_01410
OG0000012	Prbe.g_01825	Pran.g_00132
OG0000012	Prbe.g_00906	Pran.g_01772
OG0000013	Prbe.g_00216	Pran.g_00615, Pran.g_00328
OG0000014	Prbe.g_01861	Pran.g_00754, Pran.g_00755
OG0000016	Prbe.g_01046, Prbe.g_01000	Pran.g_01394
OG0000017	Prbe.g_01121, Prbe.g_00012	Pran.g_00583
OG0000018	Prbe.g_00536, Prbe.g_00529	Pran.g_01580
OG0000019	Prbe.g_01024, Prbe.g_01130	Pran.g_01813
OG0000020	Prbe.g_01603, Prbe.g_00214	Pran.g_00845
OG0000021	Prbe.g_00290, Prbe.g_01040	Pran.g_00713
OG0000022	Prbe.g_01794	Pran.g_01951
OG0000023	Prbe.g_01208	Pran.g_01829
OG0000025	Prbe.g_01415, Prbe.g_00449	Pran.g_01420
OG0000028	Prbe.g_00036	Pran.g_00642
OG0000029	Prbe.g_01598, Prbe.g_01011	Pran.g_01362
OG0000030	Prbe.g_01003	Pran.g_01361
OG0000031	Prbe.g_00766	Pran.g_01167
OG0000034	Prbe.g_00311	Pran.g_00733
OG0000035	Prbe.g_00678	Pran.g_00614
OG0000036	Prbe.g_00204	Pran.g_00117
OG0000038	Prbe.g_00352	Pran.g_00753
OG0000039	Prbe.g_01607	Pran.g_00620
OG0000041	Prbe.g_00511, Prbe.g_00196	Pran.g_01555
OG0000043	Prbe.g_00074	Pran.g_00415
OG0000045	Prbe.g_00996, Prbe.g_00549	Pran.g_01593
OG0000046	Prbe.g_00220	Pran.g_01401
OG0000047	Prbe.g_01549	Pran.g_00060
OG0000048	Prbe.g_00158	Pran.g_00777
OG0000049	Prbe.g_00351	Pran.g_00807
OG0000050	Prbe.g_01714	Pran.g_00266
OG0000051	Prbe.g_00062	Pran.g_01834
OG0000052	Prbe.g_01027, Prbe.g_01021	Pran.g_01778
OG0000053	Prbe.g_01214	Pran.g_01460
OG0000054	Prbe.g_00007, Prbe.g_00993	Pran.g_00963
OG0000055	Prbe.g_00774	Pran.g_01160
OG0000056	Prbe.g_00132	Pran.g_00393, Pran.g_00930
OG0000057	Prbe.g_01705	Pran.g_00275
OG0000058	Prbe.g_00740	Pran.g_01824
OG0000059	Prbe.g_00596, Prbe.g_01114	Pran.g_01639
OG0000060	Prbe.g_01427	Pran.g_01447
OG0000061	Prbe.g_00494	Pran.g_01379
OG0000062	Prbe.g_01245	Pran.g_01321
OG0000063	Prbe.g_01605	Pran.g_00935
OG0000065	Prbe.g_01789	Pran.g_00195
OG0000066	Prbe.g_00658	Pran.g_01703
OG0000067	Prbe.g_01206	Pran.g_01480
OG0000070	Prbe.g_01297	Pran.g_00903, Pran.g_00568
OG0000071	Prbe.g_01522	Pran.g_01466
